ZIPCODE,PO_NAME,POPULATION,AREA_FT,AREA_MI,STATE,COUNTY,ST_FIPS,CTY_FIPS
11234,Brooklyn,85853.00,206201040.09,7.40,NY,Kings,36,47
11235,Brooklyn,76130.00,69053803.03,2.48,NY,Kings,36,47
11236,Brooklyn,94480.00,96373991.62,3.46,NY,Kings,36,47
11237,Brooklyn,49335.00,27425868.17,0.98,NY,Kings,36,47
11238,Brooklyn,46664.00,29429423.46,1.06,NY,Kings,36,47
11239,Brooklyn,12562.00,41794660.77,1.50,NY,Kings,36,47
11249,Brooklyn,28481.00,17772206.17,0.64,NY,Kings,36,47
11251,Brooklyn,74.00,10245952.25,0.37,NY,Kings,36,47
11354,Flushing,58525.00,61985147.45,2.22,NY,Queens,36,81
11355,Flushing,82809.00,49383079.08,1.77,NY,Queens,36,81
11356,College Point,23379.00,43321159.27,1.55,NY,Queens,36,81
11357,Whitestone,38944.00,77359110.61,2.77,NY,Queens,36,81
11358,Flushing,37743.00,54622541.09,1.96,NY,Queens,36,81
11359,Bayside,0.00,6567982.09,0.24,NY,Queens,36,81
11360,Bayside,18973.00,38834824.17,1.39,NY,Queens,36,81
11361,Bayside,28496.00,50163518.24,1.80,NY,Queens,36,81
11362,Little Neck,17707.00,54680551.22,1.96,NY,Queens,36,81
11363,Little Neck,7060.00,24242790.02,0.87,NY,Queens,36,81
11364,Oakland Gardens,33937.00,84259665.05,3.02,NY,Queens,36,81
11365,Fresh Meadows,40528.00,69385865.59,2.49,NY,Queens,36,81
11366,Fresh Meadows,13168.00,20358592.75,0.73,NY,Queens,36,81
11367,Flushing,41773.00,72810151.59,2.61,NY,Queens,36,81
11368,Corona,109069.00,72489663.28,2.60,NY,Queens,36,81
11369,East Elmhurst,38116.00,30060493.25,1.08,NY,Queens,36,81
11370,East Elmhurst,40591.00,41790436.67,1.50,NY,Queens,36,81
11371,Flushing,0.00,30558474.91,1.10,NY,Queens,36,81
11372,Jackson Heights,66636.00,20163283.87,0.72,NY,Queens,36,81
11373,Elmhurst,101282.00,42654860.34,1.53,NY,Queens,36,81
11374,Rego Park,42755.00,25203558.58,0.90,NY,Queens,36,81
11375,Forest Hills,68555.00,55587771.83,1.99,NY,Queens,36,81
11377,Woodside,90852.00,71832387.49,2.58,NY,Queens,36,81
11378,Maspeth,35473.00,66260538.74,2.38,NY,Queens,36,81
11379,Middle Village,35428.00,57622817.05,2.07,NY,Queens,36,81
11385,Ridgewood,98436.00,124786310.91,4.48,NY,Queens,36,81
11411,Cambria Heights,18216.00,35889597.38,1.29,NY,Queens,36,81
11412,Saint Albans,35019.00,45842752.23,1.64,NY,Queens,36,81
11413,Springfield Gardens,39349.00,86208498.59,3.09,NY,Queens,36,81
11414,Howard Beach,26148.00,63928824.72,2.29,NY,Queens,36,81
11415,Kew Gardens,18990.00,16802279.51,0.60,NY,Queens,36,81
11416,Ozone Park,25423.00,18854849.80,0.68,NY,Queens,36,81
11417,Ozone Park,28562.00,31099087.11,1.12,NY,Queens,36,81
11418,Richmond Hill,36607.00,32025130.92,1.15,NY,Queens,36,81
11419,South Richmond Hill,47054.00,31278858.10,1.12,NY,Queens,36,81
11420,South Ozone Park,44538.00,61879568.37,2.22,NY,Queens,36,81
11421,Woodhaven,39014.00,24314441.76,0.87,NY,Queens,36,81
11422,Rosedale,30139.00,60120657.21,2.16,NY,Queens,36,81
11423,Hollis,30243.00,45095032.10,1.62,NY,Queens,36,81
11426,Bellerose,20050.00,49609163.54,1.78,NY,Queens,36,81
11427,Queens Village,21942.00,39435767.42,1.41,NY,Queens,36,81
11428,Queens Village,18818.00,21927545.49,0.79,NY,Queens,36,81
11429,Queens Village,25116.00,39559398.28,1.42,NY,Queens,36,81
11430,Jamaica,16.00,199913664.29,7.17,NY,Queens,36,81
11432,Jamaica,62075.00,60177575.64,2.16,NY,Queens,36,81
11433,Jamaica,33679.00,47739432.60,1.71,NY,Queens,36,81
11434,Jamaica,57989.00,87379704.16,3.13,NY,Queens,36,81
11435,Jamaica,53404.00,42105899.16,1.51,NY,Queens,36,81
11436,Jamaica,18681.00,22699295.46,0.81,NY,Queens,36,81
11451,Jamaica,0.00,487599.73,0.02,NY,Queens,36,81
11691,Far Rockaway,60267.00,83927815.11,3.01,NY,Queens,36,81
11692,Arverne,18018.00,23992395.38,0.86,NY,Queens,36,81
11693,Far Rockaway,11052.00,63767758.65,2.29,NY,Queens,36,81
11694,Rockaway Park,20163.00,48101606.61,1.73,NY,Queens,36,81
11697,Breezy Point,4079.00,59789760.62,2.14,NY,Queens,36,81
