Lat,Lon,Name,small,large,circular,mini_hoop,total_rack,", NY, NY"
40.692314,-73.985143,365 BRIDGE ST,1,2,1,0,4,"365 BRIDGE ST, NY, NY"
40.7648,-73.9808,370 E 149 ST,2,0,1,0,3,"370 E 149 ST, NY, NY"
40.7648,-73.9808,371 E 149 ST,1,0,1,0,2,"371 E 149 ST, NY, NY"
40.6315091,-73.9460052,38 FLATBUSH AV,1,0,1,0,2,"38 FLATBUSH AV, NY, NY"
40.762299,-73.976671,40 W 55 ST,1,0,1,0,2,"40 W 55 ST, NY, NY"
40.741229,-74.005669,401 W 14 ST,2,3,2,0,7,"401 W 14 ST, NY, NY"
40.7648,-73.9808,4018 14 AV,2,0,1,0,3,"4018 14 AV, NY, NY"
40.841899,-73.939493,4021 BROADWAY,1,0,1,0,2,"4021 BROADWAY, NY, NY"
40.729874,-74.007095,421 HUDSON ST,1,0,1,0,2,"421 HUDSON ST, NY, NY"
40.612276,-74.169377,430 GRAHAM AV,2,0,1,0,3,"430 GRAHAM AV, NY, NY"
40.744216,-73.983654,432 PARK AV S,1,1,1,0,3,"432 PARK AV S, NY, NY"
40.69256,-73.99107,44 COURT ST,5,2,1,0,8,"44 COURT ST, NY, NY"
40.814123,-73.904823,440 UNION AV,2,0,4,0,6,"440 UNION AV, NY, NY"
40.727263,-73.982914,442 E 9 ST,1,0,2,0,3,"442 E 9 ST, NY, NY"
40.7648,-73.9808,4606 5 AV,1,0,1,0,2,"4606 5 AV, NY, NY"
40.745664,-73.982601,470 PARK AV S,2,0,1,0,3,"470 PARK AV S, NY, NY"
40.7648,-73.9808,4701 4 AV,1,0,1,0,2,"4701 4 AV, NY, NY"
40.74535,-73.98248,475 PARK AV S,1,0,1,0,2,"475 PARK AV S, NY, NY"
40.7648,-73.9808,48 N 6 ST,1,0,1,0,2,"48 N 6 ST, NY, NY"
40.7648,-73.9808,4802 4 AV,1,0,1,0,2,"4802 4 AV, NY, NY"
40.562688,-73.912528,50 BEDFORD AV,3,0,2,0,5,"50 BEDFORD AV, NY, NY"
40.626328,-74.080242,50 COURT ST,2,0,1,0,3,"50 COURT ST, NY, NY"
40.706931,-73.966697,50 DIVISION AV,4,0,1,0,5,"50 DIVISION AV, NY, NY"
40.74785,-74.00479,520 W 23 ST,2,0,1,0,3,"520 W 23 ST, NY, NY"
40.7648,-73.9808,5201 5 AV,3,0,2,0,5,"5201 5 AV, NY, NY"
40.681359,-73.973012,521 DEAN ST,2,0,1,0,3,"521 DEAN ST, NY, NY"
40.681318,-73.972819,525 DEAN ST,1,0,1,0,2,"525 DEAN ST, NY, NY"
40.76397,-73.99377,535 W 48 ST,1,0,2,0,3,"535 W 48 ST, NY, NY"
40.736451,-73.996578,55 W 13 ST,2,1,3,0,6,"55 W 13 ST, NY, NY"
40.7648,-73.9808,5504 13 AV,1,0,2,0,3,"5504 13 AV, NY, NY"
40.629968,-74.103612,558 METROPOLITAN AV,1,0,3,0,4,"558 METROPOLITAN AV, NY, NY"
40.702667,-73.991385,57 FRONT ST,1,0,1,0,2,"57 FRONT ST, NY, NY"
40.73868,-73.99576,574 6 AV,1,0,2,0,3,"574 6 AV, NY, NY"
40.7648,-73.9808,5802 5 AV,1,0,2,0,3,"5802 5 AV, NY, NY"
40.746768,-73.984821,6 E 32 ST,1,0,1,0,2,"6 E 32 ST, NY, NY"
40.71401,-73.948567,612 METROPOLITAN AV,1,0,1,0,2,"612 METROPOLITAN AV, NY, NY"
40.726371,-73.995802,640 BROADWAY,1,0,3,0,4,"640 BROADWAY, NY, NY"
40.691998,-73.991165,65 COURT ST,1,2,3,0,6,"65 COURT ST, NY, NY"
40.845814,-73.89223,650 E TREMONT AV,1,0,1,0,2,"650 E TREMONT AV, NY, NY"
40.69144,-73.998127,67 ATLANTIC AV,1,0,1,0,2,"67 ATLANTIC AV, NY, NY"
40.73533,-73.99421,68 5 AV,2,0,1,0,3,"68 5 AV, NY, NY"
40.73439,-74.00814,689 WASHINGTON AV,1,0,1,0,2,"689 WASHINGTON AV, NY, NY"
40.724012,-73.991227,7 2 AV,1,0,1,0,2,"7 2 AV, NY, NY"
40.73652,-73.99312,71 5 AV,2,0,3,0,5,"71 5 AV, NY, NY"
40.7203575,-73.845615,7114 AUSTIN ST,1,1,3,0,5,"7114 AUSTIN ST, NY, NY"
40.672329,-73.950128,725 NOSTRAND AV,1,0,1,0,2,"725 NOSTRAND AV, NY, NY"
40.675152,-73.963085,725 WASHINGTON AV,1,0,1,0,2,"725 WASHINGTON AV, NY, NY"
40.7459776,-73.898519,7415 ROOSEVELT AV,1,0,5,0,6,"7415 ROOSEVELT AV, NY, NY"
40.675778,-73.963536,746 WASHINGTON AV,1,0,2,0,3,"746 WASHINGTON AV, NY, NY"
40.702514,-73.989562,75 FRONT ST,2,0,2,0,4,"75 FRONT ST, NY, NY"
40.746704,-73.98228,760 4 AV,1,0,1,0,2,"760 4 AV, NY, NY"
40.795004,-73.969889,762 AMSTERDAM AV,1,0,1,0,2,"762 AMSTERDAM AV, NY, NY"
40.794956,-73.969471,765 AMSTERDAM AV,1,0,1,0,2,"765 AMSTERDAM AV, NY, NY"
40.73723,-73.99261,79 5 AV,3,0,2,0,5,"79 5 AV, NY, NY"
40.739921,-74.002177,80 8 AV,2,0,1,0,3,"80 8 AV, NY, NY"
40.7648,-73.9808,84 N 9 ST,1,0,4,0,5,"84 N 9 ST, NY, NY"
40.797783,-73.967865,854 AMSTERDAM AV,1,0,1,0,2,"854 AMSTERDAM AV, NY, NY"
40.767074,-73.986116,862 9 AV,1,0,1,0,2,"862 9 AV, NY, NY"
40.797606,-73.963777,885 COLUMBUS AV,1,0,2,0,3,"885 COLUMBUS AV, NY, NY"
40.703802,-73.989844,92 PLYMOUTH ST,2,0,1,0,3,"92 PLYMOUTH ST, NY, NY"
40.720571,-73.95494,94 BEDFORD AV,2,0,3,0,5,"94 BEDFORD AV, NY, NY"
40.7648,-73.9808,95 N 10 ST,3,0,4,0,7,"95 N 10 ST, NY, NY"
40.7648,-73.9808,968 4 AV,1,0,1,0,2,"968 4 AV, NY, NY"
